date;exp_td;exchange
1/9/08 00:00;21056833;10.6437
1/10/08 00:00;20425359;12.6314
1/11/08 00:00;17210112;13.114
1/12/08 00:00;16103447;13.4226
1/1/09 00:00;12392672;13.8921
1/2/09 00:00;13540397;14.5966
1/3/09 00:00;15635443;14.6695
1/4/09 00:00;14515127;13.4367
1/5/09 00:00;14023258;13.1621
1/6/09 00:00;15691295;13.3418
1/7/09 00:00;14558017;13.3654
1/8/09 00:00;16369064;13.008
1/9/09 00:00;17600964;13.4212
1/10/09 00:00;18267890;13.2257
1/11/09 00:00;18339355;13.1094
1/12/09 00:00;18764995;12.8631
1/1/10 00:00;15234048;12.8019
1/2/10 00:00;17396751;12.9424
1/3/10 00:00;21398029;12.5737
1/4/10 00:00;20385828;12.2302
1/5/10 00:00;19898738;12.7428
1/6/10 00:00;21420618;12.7193
1/7/10 00:00;19232128;12.8189
1/8/10 00:00;22886244;12.7695
1/9/10 00:00;21401693;12.7997
1/10/10 00:00;21968633;12.4374
1/11/10 00:00;22933577;12.3391
1/12/10 00:00;21589146;12.3885
1/1/11 00:00;19079908;12.1258
1/2/11 00:00;20928570;12.0703
1/3/11 00:00;24804258;11.9992
1/4/11 00:00;21919332;11.7184
1/5/11 00:00;24593953;11.6533
1/6/11 00:00;24200791;11.806
1/7/11 00:00;22459073;11.6726
1/8/11 00:00;25550074;12.2319
1/9/11 00:00;23350440;13.0445
1/10/11 00:00;24091182;13.435
1/11/11 00:00;24712136;13.6993
1/12/11 00:00;22927408;13.7689
1/1/12 00:00;21209915;13.4178
1/2/12 00:00;23999584;12.7831
1/3/12 00:00;25554983;12.7567
1/4/12 00:00;24962078;13.0697
1/5/12 00:00;27143219;13.6634
1/6/12 00:00;25264056;13.9192
1/7/12 00:00;25485903;13.3661
1/8/12 00:00;25837760;13.1845
1/9/12 00:00;23587186;12.9394
1/10/12 00:00;28138677;12.891
1/11/12 00:00;25833866;13.0746
1/12/12 00:00;24976412;12.8705
1/1/13 00:00;21470339;12.699
1/2/13 00:00;23644475;12.7229
1/3/13 00:00;26071834;12.5247
1/4/13 00:00;26667008;12.205
1/5/13 00:00;27679025;12.3115
1/6/13 00:00;26045202;12.9596
1/7/13 00:00;26916490;12.7659
1/8/13 00:00;27438010;12.9178
1/9/13 00:00;26370108;13.0759
1/10/13 00:00;29538560;12.9992
1/11/13 00:00;26643142;13.0796
1/12/13 00:00;26032913;13.0076
1/1/14 00:00;21778531;13.223
1/2/14 00:00;24998257;13.2808
1/3/14 00:00;27802022;13.1951
1/4/14 00:00;28557793;13.0708
1/5/14 00:00;28968636;12.9247
1/6/14 00:00;27986229;12.9958
1/7/14 00:00;28950096;12.9904
1/8/14 00:00;28637039;13.1406
1/9/14 00:00;29326232;13.2352
1/10/14 00:00;32263910;13.4763
1/11/14 00:00;27711111;13.6216
1/12/14 00:00;30168713;14.5129
1/1/15 00:00;22989491;14.6926
1/2/15 00:00;25930554;14.9213
1/3/15 00:00;30244550;15.2283
1/4/15 00:00;29472430;15.2262
1/5/15 00:00;27464562;15.2645
1/6/15 00:00;29799315;15.483
1/7/15 00:00;29531387;15.9396
1/8/15 00:00;28001693;16.5368
1/9/15 00:00;29123153;16.8578
1/10/15 00:00;31004825;16.564
1/11/15 00:00;27957717;16.6357
1/12/15 00:00;28306474;17.0666
1/1/16 00:00;22103840;18.0728
1/2/16 00:00;26142340;18.4731
1/3/16 00:00;28270123;17.649
1/4/16 00:00;27401955;17.4877
1/5/16 00:00;28133860;18.1542
1/6/16 00:00;28798573;18.653
1/7/16 00:00;26871217;18.6014
1/8/16 00:00;29345657;18.4749
1/9/16 00:00;29316713;19.1924
1/10/16 00:00;29097523;18.8924
1/11/16 00:00;30831216;20.1185
1/12/16 00:00;29602648;20.5206
1/1/17 00:00;23806218;21.3853
1/2/17 00:00;27581839;20.2905
1/3/17 00:00;32228443;19.301
1/4/17 00:00;28185102;18.7875
1/5/17 00:00;31761108;18.7557
1/6/17 00:00;32052617;18.1326
1/7/17 00:00;28792027;17.8283
1/8/17 00:00;32495935;17.807
1/9/17 00:00;30334790;17.8357
1/10/17 00:00;32730811;18.8161
1/11/17 00:00;33133422;18.9158
1/12/17 00:00;31178078;19.1812
1/1/18 00:00;26301012;18.9074
1/2/18 00:00;30475162;18.6449
1/3/18 00:00;34628289;18.6308
1/4/18 00:00;32391186;18.3872
1/5/18 00:00;34251809;19.591
1/6/18 00:00;33184403;20.3032
1/7/18 00:00;32569974;19.0095
1/8/18 00:00;35268335;18.8575
1/9/18 00:00;33509101;19.0154
1/10/18 00:00;37063283;19.1859
1/11/18 00:00;34486520;20.2612
1/12/18 00:00;33214731;20.1112
1/1/19 00:00;28549525;19.1651
1/2/19 00:00;31724082;19.2049
1/3/19 00:00;34342890;19.2477
1/4/19 00:00;34945160;18.9864
1/5/19 00:00;36975180;19.1197
1/6/19 00:00;34144756;19.2745
1/7/19 00:00;35120109;19.0534
1/8/19 00:00;36557136;19.685
1/9/19 00:00;33780697;19.5865
1/10/19 00:00;37023564;19.3242
1/11/19 00:00;33552583;19.3325
1/12/19 00:00;34072974;19.1071
1/1/20 00:00;29100505;18.804
1/2/20 00:00;32724664;18.8443
1/3/20 00:00;34314576;22.3784
1/4/20 00:00;20274169;24.2658
1/5/20 00:00;15250741;23.423
1/6/20 00:00;29501475;22.299
1/7/20 00:00;32472872;22.4033
1/8/20 00:00;33525455;22.2072
1/9/20 00:00;35232513;21.681
1/10/20 00:00;38313291;21.2705
1/11/20 00:00;34433929;20.3819
1/12/20 00:00;38679208;19.9651
1/1/21 00:00;28650039;19.9215
1/2/21 00:00;31819471;20.3097
1/3/21 00:00;37708669;20.7555
1/4/21 00:00;36379469;20.0153
1/5/21 00:00;36032223;19.9631
1/6/21 00:00;37364087;20.0301
1/7/21 00:00;35963768;19.9701
1/8/21 00:00;35560438;20.0761
1/9/21 00:00;37364577;20.0487
1/10/21 00:00;36775727;20.4626
1/11/21 00:00;40234270;20.9004
1/12/21 00:00;42229131;20.8918
1/1/22 00:00;29086162;20.4978
1/2/22 00:00;40633300;20.4495
1/3/22 00:00;45212882;20.5562
1/4/22 00:00;40858194;20.1088
1/5/22 00:00;43351076;20.0305
1/6/22 00:00;44800588;20.0237
1/7/22 00:00;40189741;20.5467
1/8/22 00:00;45197817;20.1209
1/9/22 00:00;47228062;20.075
1/10/22 00:00;44062757;19.9845
1/11/22 00:00;44280268;19.4449
1/12/22 00:00;43520744;19.593
1/1/23 00:00;37321471;18.9863
1/2/23 00:00;39758655;18.5986
1/3/23 00:00;47629593;18.3749
1/4/23 00:00;40704210;18.0855
1/5/23 00:00;47446569;17.7373
1/6/23 00:00;46025135;17.2412
1/7/23 00:00;42910815;16.9049
1/8/23 00:00;47160627;16.9766
1/9/23 00:00;44108807;17.3077
1/10/23 00:00;46366472;18.0823
1/11/23 00:00;45405101;17.3767
1/12/23 00:00;43993414;17.186
1/1/24 00:00;36571021;17.0873
1/2/24 00:00;45047576;17.0898
1/3/24 00:00;45458225;16.7918
1/4/24 00:00;45972275;16.8104
